KEY;target;NON_CURRENT_ASSETS;tangible_fixed_assets;CURRENT_ASSETS;cash_other_liquid_assets;STOCKS;debtors_other_short_term;TOTAL_ASSETS;net_worth;NON_CURRENT_LIABILITIES;CURRENT_LIABILITIES;SUPPLIERS;TOTAL_LIABILITIES;OTHER_OPERATION_EXPENSES;ORDINARY_EBITDA;Non_Ordinary_Result;NET_OPERATION_RESULT;FINANCIAL_INCOMES;FINANCIAL_EXPENSES;FINANCIAL_RESULTS;BENEFITS_BEFORE_TAXES;COMPANIES_TAX;BANK_INDEBTEDNESS;GROSS_FINANCIAL_DEBT;Net_result;CLIENT_COLLECTING;REVENUES_VARIATION;Exercise_result;Income;other_operation_incomes;personnel_expenses;depreciation_provision;ROLLING_FUND
10691;0;2669681;2648908;2281237;49567;875537;135161;4950918;638668.422;1617126;2695123.578;862188;4312249.578;1008742;5622961;-45703;5506962;0.0021;113797.796;5393164.206;5347461.206;31886;0.924885409;1673497;5315575.206;27572.844;252797.3604;5315575.206;7202204;7202204;570501;115999;-413886.578
10692;0;385918;50489;3887671;316118;1156827;2311409;4273589;608276;371748;3293565;53357;3665313;1405.76;7318607.24;77934;7273076.24;5016;121550.592;7156541.648;7234475.648;29265;1266152;1266152;7205210.648;513132.798;-26909.2152;7205210.648;9610434;9610434;2290421;45531;594106
10693;0;343413097;0;362415158;175053;0;362240105;705828255;238713668;49672779;417441808;660192;467114587;4805854;2516606;0;2516606;0.56459;2230882.6;285723.9646;285723.9646;823035;0.233635826;55772065;-537311.0354;67014419.43;522823.644;-537311.0354;7322460;16934168;0;0;-55026650
10694;0;29068324;882434;123344827;57190551;30;0;152413151;104125181;629099;47658871;47658871;48287970;14489591;17329740;-165289;17064127.37;292096;0;17356223.37;17190934.37;9510901;0;0;7680033.366;0;-301824.2493;7680033.366;33912837;44639021;2093506;265612.634;75685956
10695;0;237800104;228521228;1264647494;853003089;42142616;72833922;1502447598;1146443146;159368396;196636056;74480728;356004452;295767001;849730414;-74081;812629671;4543346;20395048.72;796777968.3;796703887.3;34397875;0.174410269;199951458;762306012.3;7793229.654;101699849.4;762306012.3;1173008644;1173008644;27511229;37100743;1068011438
10696;0;9133;2;3421;57;0;2050;12554;8657;1249;2648;78;3897;446;1246.05;0;1245.51;405;183.976;1466.534;1466.534;-113;0.204343306;1769;1579.534;301.35;-39.518955;1579.534;2311.05;759;619;0.54;773
10697;0;11011875;11011875;16371313;1292844;3194619;1422696;27383188;24857903;102432;2422853;2258403;2525285;5687286;28788576;-15.19;28787805.27;284126;30691.43;29041239.84;29041224.65;36524;0.094398832;266882;29004700.65;219095.184;3585.9444;29004700.65;35859444;35859444;1383582;770.73;13948460
10698;0;5982;5672;379704;294784;0;32382;385686;71151;0.406;314534.594;0;314535;66.9;65479.64;0;65478.73;0.066;16929.66;48549.136;48549.136;4.07;282161;282161;48545.066;6735.456;1863.389888;48545.066;65612.32;198425;65.78;0.91;65169.406
10699;0;126422565;43853367;134358607;5099184;30778648;12243367;260781172;92153768;26970561;141656843;107071908;168627404;36637375;463089290;-270514;453691522;4671.86;4683.14154;453691510.7;453420996.7;24459;0.513320953;47304.46;453396537.7;1946695.353;35818477.39;453396537.7;525968831;525968831;26242166;9397768;-7298236
10700;0;5393204;5393204;218982068;136207;2232656;216613205;224375272;2087996.023;2512.34;222284763.6;2449907;222287276;4002948;71066325;-8659;71066325;4405;231762.696;70838967.3;70830308.3;73399;0.765599036;2492072;70756909.3;27509877.04;-487636.6383;70756909.3;77402641;1540203157;2333368;0;-3302695.637
10701;0;185.31;183.66;3514.99;494.17;241.29;930.53;3700.3;1202.45;0;2497.85;746.5;2497.85;779.01;3934.17;0;3779.04;2.34;67.30724;3714.07276;3714.07276;73.55;0.682622978;820.82;3640.52276;167.4954;71.309854;3640.52276;5845.07;5845.07;1131.89;155.13;1017.14
10702;0;364927;350223;267277;22708;113115;57922;632204;267079;215467;149658;11514;365125;236088;854071.4;-15191;789267.4;0.031;33708.774;755558.657;740367.657;0;295691;295691;740367.657;7066.484;50219.39832;740367.657;1464122.4;1442428;373963;64804;117619
10703;0;2.6;2.6;4.96;-21.42;17.1;0;7.56;4.54;0;3.02;3.01;3.02;15.84;103.7418;0;103.7418;0.19;0;103.9318;103.9318;0.52;0;0;103.4118;0;14.62244692;103.4118;184.1618;138.84;64.58;0;1.94
10704;0;12.49;7.87;14421374;144201;0;116816;14421386.49;39.89;0;14421346.6;0;14421346.6;77793;64504.79;0;64504.79;0;0;64504.79;64504.79;1628;0;0;62876.79;15886.976;1807.7053;62876.79;142339;142339;41.21;0;27.4
10705;0;10764;10764;305626;253757;45174;0.001;316390;57899.37;-0.541;258491.171;1271;258490.63;60356;49824.45;0.01;45918.45;0;0;45918.45;45918.46;0;0;0;45918.46;0.000129;-560.57391;45918.46;147519.45;954.65;37339;3906;47134.829
10706;0;15543854;15543854;29272584;7097178;7610764;1295204;44816438;17491.13;7289582;37509364.87;9769307;44798946.87;7301684;52890800.34;-3083;52115037.34;26974;1795.55838;52140215.78;52137132.78;1056384;0.968446864;16939.23;51080748.78;317324.98;-872913.601;51080748.78;60200938;60200938;8453.66;775763;-8236780.87
10707;0;26826347;26826347;17856322;456743;17399579;0;44682669;17954344;20305513;6422812;850213;26728325;107423;677731;0;677731;0;2192995.404;-1515264.404;-1515264.404;0;20305513;20305513;-1515264.404;0;15860.1108;-1515264.404;785154;10;0;0;11433510
10708;0;4338047;4232992;54531168;1286345;39045915;19535;58869215;12000834;13212322;33656059;20677822;46868381;10465052;76717799;-0.00267;75720842;0.00332;1357275.304;74363566.7;74363566.7;45709;24237059;24237059;74317857.7;3301.415;8159234.581;74317857.7;102502947;102502947;15320096;996957;20875109
10709;0;3630054;334675;13771188;0;495856;0.22377;17401242;7130588;0;10270654;9093905;10270654;1067281;32061470;0;31988176.18;0.03902;90041.016;31898135.2;31898135.2;554036;0.161890155;1154372;31344099.2;0.02618109;795840.747;31344099.2;40812346;40812346;7683595;73293.825;3500534
10710;0;2909137;130792;375280236;95282451;0;471989;378189373;103126042;0;275063331;262976791;275063331;33181483;754250180;0;754204926;0.94902;0;754204926.9;754204926.9;4642249;0;0;749562677.9;51918.79;16855071.56;749562677.9;838560774;838560774;51129111;45254.032;100216905
10711;0;160353654;106558726;191727248;12258034;170986;0.10687;352080902;232599417;37660062;81821423;77797294;119481485;23271429;345141582;-800454;344291580;2545978;4329884.416;342507673.6;341707219.6;647899;0.178992297;41633504;341059320.6;0.021374;20066232.88;341059320.6;368864575;368864575;451564;850002;109905825
10712;0;674624243;674624243;192665289;75236677;4272.83;52249442;867289532;208007212;517399259;141883061;92214.51;659282320;166192825;716885376;-15145647;716885376;3155.6;42902983.47;673985548.1;658839901.1;11896656;24265552;504740982;646943245.1;8516659.046;-7644321.927;646943245.1;967635687;967635687;84557486;0;50782228
10713;0;1188134;557.67;990113;269262;21109;699742;2178247;746477;405033;1026737;96728;1431770;541713;1706299.2;23779;1706117.4;0;39942.854;1666174.546;1689953.546;18547;0.551633875;411782;1671406.546;114057.946;53198.61728;1671406.546;2891229.2;1706316;643217;181.80042;-36624
10714;0;4552813;4552813;151853601;10115631;127670592;14067378;156406414;8500135;0;147906279;13723234;147906279;46764482;491978922;0;491203288;0.07642;0;491203288.1;491203288.1;305448;0;0;490897840.1;1828759.14;7271704.07;490897840.1;550886672;550886672;12143268;775634;3947322
10715;0;3726275;3726275;7939476;766802;0;20;11665751;2123166.682;0;9542584.318;0.48587;9542584.318;2843;3610.61;0;3610.61;302625;0;306235.61;306235.61;0.98335;0;0;306234.6267;4.74;25.169079;306234.6267;6453.61;3826;0;0;-1603108.318
10716;0;84247;84247;2165419;144.34;0;1167317;2249666;240162;173602;1835902;0;2009504;650517;3469466.41;0;3469445.84;26.45;45496.412;3423975.878;3423975.878;-5321;874931;874931;3429296.878;184436.086;374632.4837;3429296.878;5965485.41;3760402;1845502;20.57;329517
10717;0;2213353;1995.94;11380795;89093;3965.8;614563;13594148;3507290.184;947604;9139253.816;2025222;10086857.82;830026;54857400;-48875;54857152.91;44253;448.84632;54900957.06;54852082.06;49687;5754.44;5754.44;54802395.06;148109.683;5066635.621;54802395.06;56737241;1271493282;1049815;247.09;2241541.184
10718;0;18929104;18929104;222653505;10345577;111912475;28156786;241582609;69092626.17;48239672;124250310.8;3045907;172489982.8;4807074;-6047736;-4435021;-6133437;8901.42;1025.205;-6125560.785;-10560581.79;-5552.82;0.088765779;25005;-10555028.97;2956462.53;132598.3041;-10555028.97;1439721;42711159;2680383;85701;98403194.17
10719;0;393852;393852;5413183;81266;1803399;67705;5807035;4899954;3651752;4858471.526;810316;907081;443668;5125123;-8843;5080309;26427;11127.975;5095608.025;5086765.025;259.27;96765;96765;5086505.755;12999.36;333636.9808;5086505.755;5712962;5712962;144171;44814;554711.4741
10720;0;197.38;12.87;129.52;80.52;0;49;326.9;242.79;0;84.11;0;84.11;307.85;452.5395;0.02;452.5395;0;0;452.5395;452.5595;0;0;0;452.5595;7.595;13.76304995;452.5595;760.3895;392.1;0;0;45.41
10721;0;1818191;51018;1996199;535874;68489;640652;3814390;1749144;840071;1225175;5699;2065246;280013;731811.24;0;721250.514;3735;43989.14;680996.374;680996.374;139741;0.483633709;845945;541255.374;92253.888;117581.9149;541255.374;1792407.24;1171905;780583;10560.726;771024
10722;0;393128;317600;222036;29524;98592;25348;615164;141855;277409;195900;133756;473309;56555;553895;-169;553895;782;12821.796;541855.204;541686.204;9012;246573;246573;532674.204;2965.716;29691.8272;532674.204;633088;633088;22638;0;26136
10723;0;1374978;1306938;30291935;8033683;5599268;6350487;31666913;10555532;8667108;12444273;6041452;21111381;5306186;50500135;0.66118;49964556;0;589500.33;49375055.67;49375056.33;1410757;0.649389818;6854655;47964299.33;946222.563;2181674.223;47964299.33;63236934;63236934;7430613;535579;17847662
10724;0;817587;813441;1508379;270797;1175093;62489;2325966;995169;342.13;1330454.87;355682;1330797;218097;28884690;-7157;28884689.77;3.15;34.213;28884658.7;28877501.7;12914;0.343790854;342.13;28864587.7;7936.103;2038886.681;28864587.7;29336499;29336499;233712;0.235;177924.13
10725;0;10593932;7406.55;5880746;5422.89;0;806808;16474678;7427.81;5518565;10948685.19;0;16467250.19;298243;798464.8;32486;797964.06;55.05;711018.558;87000.552;119486.552;581461;0.811219054;6025581;-461974.448;138770.976;-16927.45376;-461974.448;1511379.8;1238133;414672;500.74;-5067939.19
10726;0;5201457;0.687;458140;255498;0;202642;5659597;1290426.83;2108697;2260473.17;11139;4369170.17;114116;144606;-3813991;144605.8715;0;278981.001;-134375.1295;-3948366.129;-174356;0.850000825;2384453;-3774010.129;21885.336;95.4708;-3774010.129;318236;665496;59514;0.128469;-1802333.17
10727;0;3706657;3168384;65087798;57411133;0;0;68794455;68499251;121848;173356;173356;295204;694274;-1093913;-0.06876;-1106037;0.62733;0;-1106036.373;-1106036.441;-119661;0;0;-986375.4414;0;6729.3505;-986375.4414;130667;25.8;530306;12124;64914442
10728;0;53311109;53311109;134869666;14755791;220363;46720936;188180775;136233645;1793495;50153635;3432699;51947130;142299;-1899139;0.125;-3222521;1576483;16142.225;-1662180.225;-1662180.1;-713785;0.00215435;293495;-948395.1;6821256.656;12307.9596;-948395.1;353677;61.4;2110517;1323382;84716031
10729;0;472233;438957;1599346;764098;420031;123474;2071579;1042001;111029;918549;795081;1029578;671079;4196193;-0.864;4083466;10291;0;4093757;4093756.136;9278;0;0;4084478.136;14693.406;219356.3685;4084478.136;5757385;5757385;890113;112727;680797
10730;0;5848898654;5848898654;2925626711;383600263;391776636;210144983;8774525365;923508988;5039059497;2811956880;124217956;7851016377;963562804;1757040798;24556218;1757040798;42299106;135671951.1;1663667952;1688224170;6582988;0.222589671;2055635622;1681641182;35094212.16;306004791;1681641182;3549939571;3185936775;829335969;0;113669831
10731;0;2451.91;377.33;1901749;1879.75;0;66.89;1904200.91;4286.77;0;1899914.14;0;1899914.14;59.44;356.728;-67.2;332.818;1690.64;0;2023.458;1956.258;16.37;0;0;1939.888;9.56527;45.0652384;1939.888;619.028;239.02;202.86;23.91;1834.86
10732;0;9;8;791;407;31;27;800;686;3;111;84;114;249;965;0;959;0;0;959;959;30;0;0;929;4.536;96.2013;929;1451;1451;237;6;680
10733;0;5849965;4223306;5016377;1394516;0;0.22518;10866342;6491789;269301;4105252;3462881;4374553;984061;8765714;0;7454612;0;37554.551;7417057.449;7417057.449;169509;0.123083637;799033;7247548.449;0.02904822;770694.5259;7247548.449;14736033;14736033;4986258;1311102;911125
10734;0;410016;410016;236667;3145;120;8021;646683;440129;1173862;72841.01736;0;206554;85881;107387.3375;0.188;80200.3375;0;2134.56;78065.7775;78065.9655;1.21;0.121246271;53364;78064.7555;810.121;14787.23637;78064.7555;193297.2075;158.7;28.87;27187;163825.9826
10735;0;4485643;189897;3365069;305976;0;524.33;7850712;5375343;804757;1670612;771403;2475369;1134309;3840446;0;3750547;2395;40944.744;3711997.256;3711997.256;167749;0.105793621;568677;3544248.256;106.43899;601700.3118;3544248.256;6490834;6490834;1516079;89899;1694457
10736;0;0;0;219001169;17342907;45356563;0;219001169;183471368;0;35529801;35529801;35529801;28207574;76989990;-0.12221;76989990;0;0;76989990;76989989.88;34366826;0;0;42623163.88;0;5017924.375;42623163.88;105197576;517004546;12;0;183471368
10737;0;1233282;1071556;9405625;7855159;0;1550466;10638907;8660598;0;1978309;0;1978309;16314224;11877999.48;0;11561310.48;0.006;0;11561310.49;11561310.49;288862;0;0;11272448.49;338001.588;802952.7648;11272448.49;29092491.48;26787042;900268;316689;7427316
10738;0;13379764;12027277;15279396;593772;2440315;11792235;28659160;3123848.44;1235003;24300308.56;4986078;25535311.56;6809453;26970119;42793;26970119;969503;80200.904;27859421.1;27902214.1;295221;0.127478562;1083796;27606993.1;1191015.735;2445632.393;27606993.1;52594245;52594245;18814673;0;-9020912.56
10739;0;3069448;1603617;12971812;569943;1831626;1150777;16041260;3187996;1126296;11726968;5379088;12853264;2734239;30692747;-90.84;30445775;7.38;354110.064;30091672.32;30091581.48;68289;6323394;6323394;30023292.48;283091.142;290128.6168;30023292.48;38174818;38174818;4747832;246972;1244844
10740;0;298488;298488;78820238;26958102;0;1662302;79118726;3949807;0;75168919;35291346;75168919;26240625;89886096.66;0;89817742.91;0.8027;0;89817743.71;89817743.71;4624714;0;0;85193029.71;403939.386;12188229.82;85193029.71;198182598.7;135705403;82055877;68353.752;3651319
10741;0;45097;37907;865234;11107;120088;105989;910331;336247;236719;337365;83194;574084;197713;1209823;-0.473;1198967;3199;7.6732;1202158.327;1202157.854;24185;0.570503231;191.83;1177972.854;18336.097;75239.2514;1177972.854;1721722;1721722;314186;10856;527869
10742;0;614288;580.69;1970520;151466;1722583;96471;2584808;285707.52;1003238;1295862.48;5062;2299100.48;497.7;4572658.3;-4811;4572567.712;0.761;156227.631;4416340.842;4411529.842;8345;1679867;1679867;4403184.842;16207.128;258790.4878;4403184.842;4783558;4783558;210402;90.58764;674657.52
10743;0;30628809;0;21368984;1597515;15345;31973;51997793;39692604;11843369;461820;0;12305189;195597;5731253;93407;5731253;0;800395.71;4930857.29;5024264.29;-74805;0.21226166;8425218;5099069.29;4540.166;361442.1044;5099069.29;6167954;7041356;241104;0;20907164
10744;0;1275222;1266777;860695;440.78;93506;91025;2135917;912343;861013;362561;182279;1223574;409209;1497972;-0.344;1497851.62;6763;16398.995;1488215.625;1488215.281;38561;0.189206252;172621;1449654.281;12379.4;91910.9856;1449654.281;2344668;2344668;437487;120.38;498134
